Slide,Section,Title,Source references,Notes / qualifications
70,06 / Deferred • T4-D15,Compare sample and reference distributions using KS distance,"[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail row 16; Defer (phase-2)
[S28] source-codes/docs/0.4.0/00-framework.md — §5 deferred inventory
[S09] source-codes/backend/dq_diagnostics/register.py — Current register excludes this diagnostic","Planned, deferred workbook diagnostic. Distributional difference vs reference (complements PSI). Planned metric: Kolmogorov-Smirnov statistic. Workbook default/decision rule: KS above threshold -> flag (over-flags at large n; read with PSI). Input binding examples in the workbook are illustrative and are not used as real findings. No registered executor, report schema, current launch or diagnostic-specific automated RCA is claimed. Proposed user is analytics/model team with SME review. Remediation would follow evidence review and manual source or methodology correction."
71,06 / Deferred • T4-D16,Expose absent or thin population segments,"[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail row 17; Defer (phase-2)
[S28] source-codes/docs/0.4.0/00-framework.md — §5 deferred inventory
[S09] source-codes/backend/dq_diagnostics/register.py — Current register excludes this diagnostic","Planned, deferred workbook diagnostic. Is any live-population segment absent/thin in the sample? Planned metric: presence & share by segment. Workbook default/decision rule: segment in reference but < min share in sample -> flag. Input binding examples in the workbook are illustrative and are not used as real findings. No registered executor, report schema, current launch or diagnostic-specific automated RCA is claimed. Proposed user is analytics/model team with SME review. Remediation would follow evidence review and manual source or methodology correction."
72,06 / Deferred • T5-D18,Quantify the impact of resolved-only outcome selection,"[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail row 19; Defer (phase-2)
[S28] source-codes/docs/0.4.0/00-framework.md — §5 deferred inventory
[S09] source-codes/backend/dq_diagnostics/register.py — Current register excludes this diagnostic","Planned, deferred workbook diagnostic. How much the estimate changes on resolved-only vs all. Planned metric: delta(estimate resolved-only vs all). Workbook default/decision rule: differential > Y -> flag downward bias. Input binding examples in the workbook are illustrative and are not used as real findings. No registered executor, report schema, current launch or diagnostic-specific automated RCA is claimed. Proposed user is analytics/model team with SME review. Remediation would follow evidence review and manual source or methodology correction."
73,06 / Deferred • T5-D19,Assess whether vintages have had time to mature,"[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Diagnostics detail row 20; Defer (phase-2)
[S28] source-codes/docs/0.4.0/00-framework.md — §5 deferred inventory
[S09] source-codes/backend/dq_diagnostics/register.py — Current register excludes this diagnostic","Planned, deferred workbook diagnostic. Are recent vintages too immature for the outcome horizon? Planned metric: cumulative outcome by months-on-book (seasoning curve). Workbook default/decision rule: recent vintages below mature seasoning -> flag immaturity. Input binding examples in the workbook are illustrative and are not used as real findings. No registered executor, report schema, current launch or diagnostic-specific automated RCA is claimed. Proposed user is analytics/model team with SME review. Remediation would follow evidence review and manual source or methodology correction."
74,07 / Appendix • Inventory,Reconcile the inventory without double-counting capabilities,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Nine-row register
[S10] source-codes/backend/dq_diagnostics/dispatch.py — Six adapters
[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Twenty primary diagnostic rows
[S23] source-codes/docs/architecture/phase1b-missingness.md — Supporting analysis
[S25] source-codes/backend/dq_tests/registry.py — Retired registry","Inventory arithmetic: 20 numbered workbook diagnostics = 9 registered + 11 deferred. The nine registered entries = 5 enabled implementations + 1 paused implementation + 3 planned workflows. One supporting Missingness Mechanism is additional. Nine broader framework reference groups and fourteen retired legacy names are retained as cross-references, not added to the executable count. All current six implementations have five-page sections. Each planned/deferred numbered entry has a dedicated concise page."
75,07 / Appendix • Example,"Use repository fixtures as examples, with their provenance visible","[D06T] source-codes/backend/tests/unit/test_lab/diagnostics/t2_d06_row_completeness/test_row_completeness_engine.py — test_invalid_rows_full_calendar_gap_duplicates_and_observed_span_reconcile
[D06E] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/engine.py — Observed-span grid and issue accounting","Example copied from repository test input and assertions. It was not generated from client data and the test was not executed for the presentation. Inputs: A Jan twice, A Mar, B Jan, B Mar, blank facility/bad period. Expected span Jan–Mar for A and B gives 6 required pairs, 4 received unique required pairs, 2 missing pairs, 1 surplus exact duplicate and 1 invalid row. Primary issue instances=4; the missing calendar period is not double-counted. This is evidence of the test contract, not product effectiveness at scale."
76,07 / Appendix • Sources,Assess the supplied sources at their proper authority level,"[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx — All five worksheets and metadata
[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — All five worksheets and metadata
[S03] documentation/Presentations/DataQuality_Framework.pptx — All five slides, shapes, themes and notes XML
[S04] documentation/Presentations/AI and Accelerators_Risk.pptx — All four slides; detailed slide 4 XML","Workbook inspection used openpyxl: populated ranges, tables, charts, images, merged cells and properties. Presentations were inspected as OOXML packages, including slides, shape positions, fonts, fills, themes, layouts and available notes. Both supplied presentation packages could not be opened by the local headless PowerPoint API; their XML content and design were fully accessible. Their originals were not modified. The generated deck is validated separately in native PowerPoint."
77,07 / Appendix • Capability boundary,Show implemented controls beside the remaining enterprise work,"[S06] source-codes/USER_GUIDE.md — Current journey
[S07] source-codes/TSD.md — Configuration and security boundary
[S15] source-codes/backend/domains/rca/service.py — approve_conclusion and legacy rerun
[S16] source-codes/ui/src/features/rca/components/RcaCase.jsx — Optional handoffs
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — register
[S20] source-codes/docs/rca/00-contracts.md — §13 revised boundaries","This is an evidence-based readiness summary, not a generic compliance checklist. Known gaps originate in repository documentation/code. Current single-tenant deployment and bearer-session controls do not establish enterprise SSO, full per-resource RBAC, fresh-snapshot fix validation or continuous monitoring. No changes were made to address these product gaps during presentation creation."
78,07 / Appendix • Assumptions,Resolve source conflicts in favor of the current implementation,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — register, threshold_defaults and stale scoring narrative
[S28] source-codes/docs/0.4.0/00-framework.md — §3 stale executable invariants
[D06E] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/engine.py — Observed-span methodology
[D08R] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/README.md — Production workflow
[D11R] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/README.md — Three-source empirical classification
[D14E] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/engine.py — Inclusive threshold comparison
[S16] source-codes/ui/src/features/rca/components/RcaCase.jsx — Current RCA UI",Main discrepancies: current register five enabled vs stale two/four-executable narratives; D04 paused; D06 doc header pending vs code enabled and observed-span method; D08 v0.2 production vs older broad valid/missing tagging language; D11 expected-versus-observed three-input classifier vs median/inversion wording; PSI >= thresholds vs workbook > prose; current RCA conclusion closure vs historical mandatory fix/rerun sequence; six themes vs older five-theme description. Presented code state includes uncommitted changes and must be checked against the deployed release.
79,07 / Appendix • Terms,"Use consistent language for data, analysis and workflow","[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx — Framework terminology
[S06] source-codes/USER_GUIDE.md — Workflow terms
[D02R] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/README.md — Metrics
[D08R] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/README.md — Tags and artifacts
[D11R] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/README.md — Relationship evidence
[D14R] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/README.md — PSI
[S20] source-codes/docs/rca/00-contracts.md — Roles and knowledge governance","Definitions are operational descriptions drawn from the cited sources. PD/LGD/EAD expand only the optional credit-risk context names used by D08/D11; this deck does not provide regulatory guidance. AAR naming variation is acknowledged: Analysis Artifact Repository in backend references, Analytics Artifact Repository in UI."
80,07 / Appendix • Source matrix,Trace major claims to their source families (1/3),"[S05] source-codes/README.md
[S06] source-codes/USER_GUIDE.md
[S07] source-codes/TSD.md
[S08] source-codes/backend/knowledge_base/dq_framework_data.json
[S09] source-codes/backend/dq_diagnostics/register.py
[S10] source-codes/backend/dq_diagnostics/dispatch.py
[S11] source-codes/backend/dq_diagnostics/readiness.py
[S12] source-codes/backend/routers/diagnostics.py
[S13] source-codes/backend/domains/test_lab/shared/run_state.py
[S14] source-codes/backend/ai/v2/issues.py
[S15] source-codes/backend/domains/rca/service.py
[S16] source-codes/ui/src/features/rca/components/RcaCase.jsx
[S17] source-codes/backend/routers/admin.py
[S18] source-codes/backend/routers/auth.py
[S19] source-codes/backend/kb.py
[S20] source-codes/docs/rca/00-contracts.md
[S21] source-codes/backend/domains/aar/README.md
[S22] source-codes/docs/architecture/data-sourcing-profiling-aar.md
[S23] source-codes/docs/architecture/phase1b-missingness.md
[S24] source-codes/backend/supporting_analyses/missingness.py","Paths are repository-relative. Diagnostic key suffixes: R=README; M=manifest; X=runner; E=engine/adapter; C=classification; T=tests; K=knowledge. For concise navigation, visible paths are shortened; full exact locations are recorded below and in the adjacent validation report. Source matrix groups related claims, while per-slide notes supply the detailed mapping."
81,07 / Appendix • Source matrix,Trace major claims to their source families (2/3),"[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx
[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx
[S03] documentation/Presentations/DataQuality_Framework.pptx
[S04] documentation/Presentations/AI and Accelerators_Risk.pptx
[S05] source-codes/README.md
[S06] source-codes/USER_GUIDE.md
[S07] source-codes/TSD.md
[S08] source-codes/backend/knowledge_base/dq_framework_data.json
[S09] source-codes/backend/dq_diagnostics/register.py
[S10] source-codes/backend/dq_diagnostics/dispatch.py
[S11] source-codes/backend/dq_diagnostics/readiness.py
[S12] source-codes/backend/routers/diagnostics.py
[S13] source-codes/backend/domains/test_lab/shared/run_state.py
[S14] source-codes/backend/ai/v2/issues.py
[S15] source-codes/backend/domains/rca/service.py
[S16] source-codes/ui/src/features/rca/components/RcaCase.jsx
[S17] source-codes/backend/routers/admin.py
[S18] source-codes/backend/routers/auth.py
[S19] source-codes/backend/kb.py
[S20] source-codes/docs/rca/00-contracts.md
[S21] source-codes/backend/domains/aar/README.md
[S22] source-codes/docs/architecture/data-sourcing-profiling-aar.md
[S23] source-codes/docs/architecture/phase1b-missingness.md
[S24] source-codes/backend/supporting_analyses/missingness.py
[S25] source-codes/backend/dq_tests/registry.py
[S26] source-codes/docs/0.4.0/01-disposition.md
[S27] documentation/product/aegis-labs-product-spec.md
[S28] source-codes/docs/0.4.0/00-framework.md
[S29] source-codes/backend/domains/aar/types.py
[S30] source-codes/backend/domains/aar/repository.py
[S31] source-codes/backend/routers/sourcing.py
[S32] source-codes/ui/src/pages/testlab/ScorePanel.jsx
[S33] source-codes/backend/tests/test_missingness_capability.py
[S34] source-codes/backend/dq_tests/README.md
[D02R] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/README.md
[D02M] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/manifest.py
[D02X] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/runner.py
[D04R] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/README.md
[D04M] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/manifest.py
[D04X] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/runner.py
[D04E] source-codes/backend/domains/test_lab/diagnostics/t2_d04_cross_field_business_rule/engine.py
[D06R] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/README.md
[D06M] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/manifest.py
[D06X] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/runner.py
[D06E] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/engine.py
[D08R] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/README.md
[D08M] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/manifest.py
[D08X] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/runner.py
[D08E] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/engine.py
[D11R] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/README.md
[D11M] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/manifest.py
[D11X] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/runner.py
[D11E] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/engine.py
[D14R] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/README.md
[D14M] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/manifest.py
[D14X] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/runner.py
[D14E] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/engine.py
[D02E] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/adapter.py
[D02C] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/orchestration.py
[D06T] source-codes/backend/tests/unit/test_lab/diagnostics/t2_d06_row_completeness/test_row_completeness_engine.py
[D08T] source-codes/backend/tests/unit/test_lab/diagnostics/t2_d08_value_semantics/test_value_semantics_engine.py
[D08K] source-codes/backend/knowledge_base/value_semantics_kb_v0_2.yaml
[D11K] source-codes/backend/knowledge_base/pd_directionality_kb_v0_3.yaml
[D11T] source-codes/backend/tests/unit/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/test_directionality_engine.py
[D14T] source-codes/backend/tests/integration/test_lab/diagnostics/t4_d14_population_stability/test_population_stability.py","Paths are repository-relative. Diagnostic key suffixes: R=README; M=manifest; X=runner; E=engine/adapter; C=classification; T=tests; K=knowledge. For concise navigation, visible paths are shortened; full exact locations are recorded below and in the adjacent validation report. Source matrix groups related claims, while per-slide notes supply the detailed mapping."
82,07 / Appendix • Source matrix,Trace major claims to their source families (3/3),"[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx
[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx
[S03] documentation/Presentations/DataQuality_Framework.pptx
[S04] documentation/Presentations/AI and Accelerators_Risk.pptx
[S25] source-codes/backend/dq_tests/registry.py
[S26] source-codes/docs/0.4.0/01-disposition.md
[S27] documentation/product/aegis-labs-product-spec.md
[S28] source-codes/docs/0.4.0/00-framework.md
[S29] source-codes/backend/domains/aar/types.py
[S30] source-codes/backend/domains/aar/repository.py
[S31] source-codes/backend/routers/sourcing.py
[S32] source-codes/ui/src/pages/testlab/ScorePanel.jsx
[S33] source-codes/backend/tests/test_missingness_capability.py
[S34] source-codes/backend/dq_tests/README.md","Paths are repository-relative. Diagnostic key suffixes: R=README; M=manifest; X=runner; E=engine/adapter; C=classification; T=tests; K=knowledge. For concise navigation, visible paths are shortened; full exact locations are recorded below and in the adjacent validation report. Source matrix groups related claims, while per-slide notes supply the detailed mapping."
83,07 / Appendix • Slide index,Navigate from a presentation section to its evidence,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Diagnostic IDs
[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx — Framework source
[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Deferred diagnostic inventory","Each slide in the indexed range contains its own source notes. This index is generated from the finished content structure, so the diagnostic sequence and source-family mapping remain aligned."
84,07 / Appendix • Slide index,Navigate from a presentation section to its evidence,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Diagnostic IDs
[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx — Framework source
[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Deferred diagnostic inventory","Each slide in the indexed range contains its own source notes. This index is generated from the finished content structure, so the diagnostic sequence and source-family mapping remain aligned."
85,07 / Appendix • Slide index,Navigate from a presentation section to its evidence,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Diagnostic IDs
[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx — Framework source
[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Deferred diagnostic inventory","Each slide in the indexed range contains its own source notes. This index is generated from the finished content structure, so the diagnostic sequence and source-family mapping remain aligned."
86,07 / Appendix • Slide index,Navigate from a presentation section to its evidence,"[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Diagnostic IDs
[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx — Framework source
[S02] documentation/Presentations/MVP_Test Plan_DA.xlsx — Deferred diagnostic inventory","Each slide in the indexed range contains its own source notes. This index is generated from the finished content structure, so the diagnostic sequence and source-family mapping remain aligned."
87,07 / Appendix • Validation,Review the few decisions that affect enterprise adoption,"[S07] source-codes/TSD.md — Security boundary
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Current availability
[S15] source-codes/backend/domains/rca/service.py — Approved conclusion boundary
[D06E] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/engine.py — Observed-span limitation
[D08R] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/README.md — Known boundaries
[D11R] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/README.md — MVP defaults
[D14R] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/README.md — Manual population comparisons",Open owner-validation items: deployed register versus working tree; D04 re-enablement; D08 promotion acceptance; current RCA closure wording and fresh-data remediation acceptance policy; enterprise identity/route permissions; calibration of analytical floors and domain knowledge; full downstream D08 consumption; desired monitoring scope. Deck validation details and any render limitations are recorded in the adjacent markdown report.
